week,review_count
2025-W24,12754
2025-W25,6805
2025-W26,3552
2025-W27,2536
2025-W28,2009
2025-W29,1581
2025-W30,1149
2025-W31,905
2025-W32,730
2025-W33,774
2025-W34,510
2025-W35,644
2025-W36,513
2025-W37,363
2025-W38,1364
2025-W39,1217
2025-W40,469
2025-W41,407
2025-W42,392
2025-W43,340
2025-W44,305
2025-W45,242
2025-W46,245
2025-W47,2212
2025-W48,352
2025-W49,252
2025-W50,292
2025-W51,291
2025-W52,143
2026-W00,202
2026-W01,326
2026-W02,233
2026-W03,232
2026-W04,251
2026-W05,268
2026-W06,184
2026-W07,205
2026-W08,149
2026-W09,198
2026-W10,190
2026-W11,206
2026-W12,274
2026-W13,216
2026-W14,247
2026-W15,276
2026-W16,237
2026-W17,233
2026-W18,204
2026-W19,218
2026-W20,190
2026-W21,198
2026-W22,212
2026-W23,487
2026-W24,546
2026-W25,205
