ID,Гипотеза,Данные,Подтверждение,Приоритет
H1,Естественный спад после релизного пика,"Корреляция неделя→отзывы r=-0.486, падение -98% за 55 нед",ДА,Высокая
H2,Игроки уходят из-за проблем в первые часы,Негатив <1ч: в среднем 75.2% (выше среднего 31.5%),ДА,Высокая
H3,Контентные паузы убивают интерес (сезонность),"8 недель с пиками, сезонные всплески совпадают с новостями",ДА,Высокая
H9,Игроки выжигают контент и уходят,"Первое достижение: 88.9%, последнее: 4.5%",ДА,Высокая
H12,Отсутствие ежедневных стимулов (гринда / прогрессии),"Только 24.2% забили 100 голов, 18.1% сделали 100 ассистов",ДА,Высокая
H4,Новые игроки играют меньше (короткие сессии),Ранние: мед=55.7ч vs Поздние: мед=39.1ч,ДА,Средняя
H7,Высокие системные требования отсекают аудиторию,"Топ GPU — RTX 5070 Ti (5.3%), Windows 11 — 78.2%",ЧАСТИЧНО,Средняя
H8,Редкие обновления между сезонами,Всего 20 новостей за 55 нед (~0.4/нед). Долгие паузы без контента.,ДА,Средняя
H10,Эффект снежного кома (низкий онлайн → долгий поиск → еще ниже),Отзывов за последнюю неделю: 205 (было 12754),ДА,Средняя
H11,Игре не хватает соревновательного режима / лиг,"57.2% дошли до Save_Overtime, 56.0% до Match_Ranked, 37.8% до Match_Wins",ЧАСТИЧНО,Средняя
H5,Локализация влияет на удержание,"Англ 69.1% vs неангл 68.1% (p=0.025, но разница мала для удержания)",ЧАСТИЧНО,Низкая
H6,Цена не соответствует контенту,Бесплатные копии: 69.8% vs покупка 69.9% — нет разницы (p=0.96),НЕТ,Низкая
