bigram,neg_count,pos_count,ratio
game breaking,24,1,24.0
this point,19,1,19.0
not recommend,17,1,17.0
waste your,16,1,16.0
fixing the,16,1,16.0
your game,15,1,15.0
now the,15,1,15.0
kat yorum,15,1,15.0
yorsun demi,14,1,14.0
game they,14,1,14.0
not buy,14,1,14.0
the point,14,1,14.0
not even,26,2,13.0
dont buy,13,1,13.0
since beta,13,1,13.0
penalty for,13,1,13.0
had the,13,1,13.0
touch the,13,1,13.0
beta and,23,2,11.5
with this,27,3,9.0
the goalkeeper,18,2,9.0
bugs that,16,2,8.0
for leaving,16,2,8.0
and now,16,2,8.0
and all,15,2,7.5
with every,15,2,7.5
potential but,21,3,7.0
every update,21,3,7.0
game had,20,3,6.7
game was,33,5,6.6
